2018-04-26 18:10:17 status half-installed dpkg:armhf 1.19.0.5ubuntu2
2018-04-26 18:10:17 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2018-04-26 18:10:17 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2018-04-26 18:10:17 install e2fsprogs:armhf <none> 1.44.1-1
2018-04-26 18:10:17 status half-installed e2fsprogs:armhf 1.44.1-1
2018-04-26 18:10:17 status unpacked e2fsprogs:armhf 1.44.1-1
2018-04-26 18:10:17 status unpacked e2fsprogs:armhf 1.44.1-1
2018-04-26 18:10:17 install fdisk:armhf <none> 2.31.1-0.4ubuntu3
2018-04-26 18:10:17 status half-installed fdisk:armhf 2.31.1-0.4ubuntu3
2018-04-26 18:10:17 status unpacked fdisk:armhf 2.31.1-0.4ubuntu3
2018-04-26 18:10:17 status unpacked fdisk:armhf 2.31.1-0.4ubuntu3
2018-04-26 18:10:17 install findutils:armhf <none> 4.6.0+git+20170828-2
2018-04-26 18:10:17 status half-installed findutils:armhf 4.6.0+git+20170828-2
2018-04-26 18:10:17 status unpacked findutils:armhf 4.6.0+git+20170828-2
2018-04-26 18:10:17 status unpacked findutils:armhf 4.6.0+git+20170828-2
2018-04-26 18:10:17 install gcc-8-base:armhf <none> 8-20180414-1ubuntu2
2018-04-26 18:10:17 status half-installed gcc-8-base:armhf 8-20180414-1ubuntu2
2018-04-26 18:10:17 status unpacked gcc-8-base:armhf 8-20180414-1ubuntu2
2018-04-26 18:10:17 status unpacked gcc-8-base:armhf 8-20180414-1ubuntu2
2018-04-26 18:10:17 install grep:armhf <none> 3.1-2
2018-04-26 18:10:17 status half-installed grep:armhf 3.1-2
2018-04-26 18:10:17 status unpacked grep:armhf 3.1-2
2018-04-26 18:10:17 status unpacked grep:armhf 3.1-2
2018-04-26 18:10:17 install gzip:armhf <none> 1.6-5ubuntu1
2018-04-26 18:10:17 status half-installed gzip:armhf 1.6-5ubuntu1
2018-04-26 18:10:17 status unpacked gzip:armhf 1.6-5ubuntu1
2018-04-26 18:10:17 status unpacked gzip:armhf 1.6-5ubuntu1
2018-04-26 18:10:17 install hostname:armhf <none> 3.20
2018-04-26 18:10:17 status half-installed hostname:armhf 3.20
2018-04-26 18:10:17 status unpacked hostname:armhf 3.20
2018-04-26 18:10:17 status unpacked hostname:armhf 3.20
2018-04-26 18:10:17 install init-system-helpers:all <none> 1.51
2018-04-26 18:10:17 status half-installed init-system-helpers:all 1.51
2018-04-26 18:10:17 status unpacked init-system-helpers:all 1.51
2018-04-26 18:10:17 status unpacked init-system-helpers:all 1.51
2018-04-26 18:10:17 install libacl1:armhf <none> 2.2.52-3build1
2018-04-26 18:10:17 status half-installed libacl1:armhf 2.2.52-3build1
2018-04-26 18:10:17 status unpacked libacl1:armhf 2.2.52-3build1
2018-04-26 18:10:17 status unpacked libacl1:armhf 2.2.52-3build1
2018-04-26 18:10:17 install libattr1:armhf <none> 1:2.4.47-2build1
2018-04-26 18:10:17 status half-installed libattr1:armhf 1:2.4.47-2build1
2018-04-26 18:10:17 status unpacked libattr1:armhf 1:2.4.47-2build1
2018-04-26 18:10:17 status unpacked libattr1:armhf 1:2.4.47-2build1
2018-04-26 18:10:17 install libaudit-common:all <none> 1:2.8.2-1ubuntu1
2018-04-26 18:10:17 status half-installed libaudit-common:all 1:2.8.2-1ubuntu1
2018-04-26 18:10:17 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2018-04-26 18:10:17 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2018-04-26 18:10:17 install libaudit1:armhf <none> 1:2.8.2-1ubuntu1
2018-04-26 18:10:17 status half-installed libaudit1:armhf 1:2.8.2-1ubuntu1
2018-04-26 18:10:17 status unpacked libaudit1:armhf 1:2.8.2-1ubuntu1
2018-04-26 18:10:17 status unpacked libaudit1:armhf 1:2.8.2-1ubuntu1
2018-04-26 18:10:17 install libblkid1:armhf <none> 2.31.1-0.4ubuntu3
2018-04-26 18:10:17 status half-installed libblkid1:armhf 2.31.1-0.4ubuntu3
2018-04-26 18:10:17 status unpacked libblkid1:armhf 2.31.1-0.4ubuntu3
2018-04-26 18:10:17 status unpacked libblkid1:armhf 2.31.1-0.4ubuntu3
2018-04-26 18:10:17 install libbz2-1.0:armhf <none> 1.0.6-8.1
2018-04-26 18:10:17 status half-installed libbz2-1.0:armhf 1.0.6-8.1
2018-04-26 18:10:17 status unpacked libbz2-1.0:armhf 1.0.6-8.1
2018-04-26 18:10:17 status unpacked libbz2-1.0:armhf 1.0.6-8.1
2018-04-26 18:10:18 install libc-bin:armhf <none> 2.27-3ubuntu1
2018-04-26 18:10:18 status half-installed libc-bin:armhf 2.27-3ubuntu1
2018-04-26 18:10:18 status unpacked libc-bin:armhf 2.27-3ubuntu1
2018-04-26 18:10:18 status unpacked libc-bin:armhf 2.27-3ubuntu1
2018-04-26 18:10:18 upgrade libc6:armhf 2.27-3ubuntu1 2.27-3ubuntu1
2018-04-26 18:10:18 status half-configured libc6:armhf 2.27-3ubuntu1
2018-04-26 18:10:18 status unpacked libc6:armhf 2.27-3ubuntu1
2018-04-26 18:10:18 status half-installed libc6:armhf 2.27-3ubuntu1
2018-04-26 18:10:19 status half-installed libc6:armhf 2.27-3ubuntu1
2018-04-26 18:10:19 status unpacked libc6:armhf 2.27-3ubuntu1
2018-04-26 18:10:19 status unpacked libc6:armhf 2.27-3ubuntu1
2018-04-26 18:10:19 install libcap-ng0:armhf <none> 0.7.7-3.1
